GeoCode,GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle,Month
048,48th Precinct,204.0,421.0,41.0,30.0,0.0,19.0,0.0,5.0,0.0,7.0,0.0,8.0,May
049,49th Precinct,214.0,422.0,47.0,34.0,0.0,26.0,0.0,5.0,0.0,8.0,0.0,6.0,May
050,50th Precinct,201.0,392.0,39.0,16.0,0.0,22.0,0.0,5.0,0.0,10.0,0.0,5.0,May
052,52nd Precinct,251.0,501.0,45.0,17.0,0.0,18.0,0.0,4.0,0.0,18.0,0.0,4.0,May
K,BROOKLYN,5420.0,10683.0,1138.0,467.0,3.0,618.0,1.0,178.0,0.0,282.0,6.0,222.0,May
060,60th Precinct,194.0,374.0,23.0,9.0,0.0,14.0,0.0,1.0,0.0,11.0,0.0,1.0,May
061,61st Precinct,308.0,616.0,59.0,34.0,0.0,21.0,0.0,10.0,0.0,19.0,1.0,12.0,May
062,62nd Precinct,242.0,489.0,48.0,18.0,0.0,25.0,0.0,1.0,0.0,21.0,1.0,2.0,May
063,63rd Precinct,226.0,449.0,50.0,27.0,1.0,25.0,0.0,7.0,0.0,12.0,0.0,7.0,May
066,66th Precinct,263.0,499.0,63.0,18.0,0.0,19.0,0.0,12.0,0.0,25.0,0.0,16.0,May
067,67th Precinct,309.0,621.0,81.0,41.0,0.0,49.0,0.0,8.0,0.0,15.0,1.0,7.0,May
068,68th Precinct,264.0,521.0,54.0,17.0,0.0,38.0,0.0,7.0,0.0,17.0,0.0,8.0,May
069,69th Precinct,182.0,364.0,37.0,21.0,1.0,23.0,0.0,3.0,0.0,7.0,1.0,4.0,May
070,70th Precinct,262.0,503.0,68.0,19.0,0.0,34.0,0.0,7.0,0.0,29.0,0.0,8.0,May
071,71st Precinct,195.0,390.0,31.0,9.0,0.0,17.0,0.0,3.0,0.0,13.0,0.0,7.0,May
072,72nd Precinct,297.0,593.0,62.0,22.0,0.0,25.0,0.0,7.0,0.0,21.0,1.0,8.0,May
073,73rd Precinct,215.0,419.0,52.0,21.0,0.0,35.0,0.0,9.0,0.0,9.0,1.0,12.0,May
075,75th Precinct,495.0,993.0,109.0,58.0,1.0,72.0,1.0,12.0,0.0,14.0,0.0,14.0,May
076,76th Precinct,163.0,333.0,19.0,10.0,0.0,17.0,0.0,2.0,0.0,2.0,0.0,4.0,May
077,77th Precinct,160.0,313.0,45.0,17.0,0.0,31.0,0.0,6.0,0.0,8.0,0.0,6.0,May
078,78th Precinct,202.0,385.0,29.0,8.0,0.0,21.0,0.0,7.0,0.0,5.0,0.0,10.0,May
079,79th Precinct,215.0,407.0,52.0,9.0,0.0,24.0,0.0,15.0,0.0,16.0,0.0,22.0,May
081,81st Precinct,118.0,241.0,31.0,12.0,0.0,23.0,0.0,6.0,0.0,4.0,0.0,7.0,May
083,83rd Precinct,171.0,332.0,46.0,15.0,0.0,41.0,0.0,6.0,0.0,6.0,0.0,7.0,May
084,84th Precinct,256.0,498.0,39.0,19.0,0.0,16.0,0.0,7.0,0.0,5.0,0.0,10.0,May
088,88th Precinct,187.0,358.0,46.0,22.0,0.0,14.0,0.0,16.0,0.0,6.0,0.0,19.0,May
090,90th Precinct,293.0,577.0,72.0,29.0,0.0,27.0,0.0,18.0,0.0,15.0,0.0,22.0,May
094,94th Precinct,203.0,408.0,22.0,12.0,0.0,7.0,0.0,8.0,0.0,2.0,0.0,9.0,May
Q,QUEENS,5461.0,10932.0,1048.0,568.0,0.0,608.0,2.0,93.0,0.0,175.0,3.0,113.0,May
100,100th Precinct,64.0,123.0,12.0,6.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,May
101,101st Precinct,88.0,179.0,13.0,7.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,May
102,102nd Precinct,314.0,622.0,56.0,23.0,0.0,32.0,0.0,3.0,0.0,21.0,0.0,6.0,May
103,103rd Precinct,275.0,539.0,61.0,33.0,0.0,49.0,0.0,3.0,0.0,14.0,0.0,3.0,May
104,104th Precinct,390.0,770.0,71.0,22.0,0.0,37.0,0.0,13.0,0.0,11.0,0.0,17.0,May
105,105th Precinct,619.0,1260.0,159.0,96.0,0.0,117.0,0.0,4.0,0.0,10.0,0.0,4.0,May
106,106th Precinct,357.0,747.0,79.0,55.0,0.0,51.0,1.0,9.0,0.0,4.0,1.0,10.0,May
107,107th Precinct,324.0,651.0,52.0,30.0,0.0,29.0,0.0,2.0,0.0,11.0,0.0,3.0,May
108,108th Precinct,454.0,901.0,91.0,51.0,0.0,34.0,0.0,15.0,0.0,10.0,0.0,20.0,May
109,109th Precinct,607.0,1205.0,83.0,46.0,0.0,36.0,0.0,7.0,0.0,25.0,0.0,7.0,May
110,110th Precinct,289.0,570.0,53.0,23.0,0.0,18.0,0.0,11.0,0.0,14.0,0.0,11.0,May
111,111th Precinct,394.0,818.0,48.0,27.0,0.0,38.0,0.0,2.0,0.0,4.0,0.0,2.0,May
112,112th Precinct,302.0,600.0,49.0,28.0,0.0,28.0,0.0,2.0,0.0,10.0,0.0,4.0,May
113,113th Precinct,319.0,630.0,91.0,57.0,0.0,61.0,0.0,3.0,0.0,17.0,1.0,5.0,May
114,114th Precinct,375.0,732.0,69.0,33.0,0.0,24.0,0.0,10.0,0.0,15.0,1.0,11.0,May
115,115th Precinct,290.0,585.0,61.0,31.0,0.0,42.0,0.0,6.0,0.0,7.0,0.0,7.0,May
S,STATEN ISLAND,1167.0,2329.0,205.0,127.0,2.0,120.0,0.0,10.0,0.0,37.0,0.0,10.0,May
120,120th Precinct,251.0,491.0,41.0,16.0,0.0,21.0,0.0,2.0,0.0,14.0,0.0,2.0,May
121,121st Precinct,342.0,686.0,68.0,42.0,1.0,51.0,0.0,6.0,0.0,8.0,0.0,6.0,May
122,122nd Precinct,397.0,807.0,82.0,61.0,1.0,42.0,0.0,0.0,0.0,14.0,0.0,0.0,May
123,123rd Precinct,177.0,345.0,14.0,8.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,2.0,May
C,CITYWIDE,19428.0,38334.0,3474.0,1790.0,6.0,1777.0,4.0,459.0,1.0,769.0,9.0,589.0,June
M,MANHATTAN,4384.0,8413.0,585.0,192.0,0.0,208.0,2.0,123.0,0.0,197.0,2.0,179.0,June
001,1st Precinct,304.0,576.0,39.0,13.0,0.0,5.0,0.0,7.0,0.0,16.0,0.0,9.0,June
005,5th Precinct,229.0,450.0,25.0,8.0,0.0,10.0,0.0,5.0,0.0,8.0,0.0,5.0,June
006,6th Precinct,141.0,264.0,13.0,3.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,11.0,June
007,7th Precinct,106.0,208.0,20.0,9.0,0.0,15.0,0.0,6.0,0.0,1.0,0.0,8.0,June
009,9th Precinct,129.0,239.0,28.0,11.0,0.0,10.0,0.0,7.0,0.0,8.0,0.0,8.0,June
010,10th Precinct,283.0,548.0,21.0,4.0,0.0,7.0,0.0,3.0,0.0,8.0,0.0,5.0,June
013,13th Precinct,244.0,437.0,53.0,9.0,0.0,17.0,0.0,16.0,0.0,21.0,0.0,21.0,June
014,Midtown South Precinct,341.0,648.0,35.0,3.0,0.0,3.0,0.0,8.0,0.0,22.0,0.0,9.0,June
017,17th Precinct,388.0,754.0,40.0,9.0,0.0,14.0,0.0,9.0,0.0,13.0,0.0,12.0,June
018,Midtown North Precinct,379.0,726.0,38.0,18.0,0.0,19.0,0.0,10.0,0.0,9.0,0.0,17.0,June
