DATE,Borough,No. of uber trips,PERSONS KILLED,trafficcol
2015-04-07,QUEENS,755,0,76
2015-04-07,STATEN ISLAND,21,0,12
2015-04-08,BRONX,247,0,44
2015-04-08,BROOKLYN,1021,0,127
2015-04-08,MANHATTAN,2621,0,108
2015-04-08,QUEENS,785,0,71
2015-04-08,STATEN ISLAND,23,0,8
2015-04-09,BRONX,257,0,37
2015-04-09,BROOKLYN,1021,0,109
2015-04-09,MANHATTAN,2817,0,104
2015-04-09,QUEENS,813,0,86
2015-04-09,STATEN ISLAND,32,0,13
2015-04-10,BRONX,306,0,56
2015-04-10,BROOKLYN,1154,0,100
2015-04-10,MANHATTAN,2912,0,100
2015-04-10,QUEENS,864,0,104
2015-04-10,STATEN ISLAND,22,0,11
2015-04-11,BRONX,359,0,53
2015-04-11,BROOKLYN,1382,0,126
2015-04-11,MANHATTAN,2898,0,127
2015-04-11,QUEENS,957,0,110
2015-04-11,STATEN ISLAND,33,0,18
2015-04-12,BRONX,308,0,60
2015-04-12,BROOKLYN,1272,1,106
2015-04-12,MANHATTAN,2533,0,91
2015-04-12,QUEENS,875,0,64
2015-04-12,STATEN ISLAND,36,0,11
2015-04-13,BRONX,244,0,56
2015-04-13,BROOKLYN,1014,0,130
2015-04-13,MANHATTAN,2401,0,112
2015-04-13,QUEENS,800,0,131
2015-04-13,STATEN ISLAND,20,0,14
2015-04-14,BRONX,241,0,51
2015-04-14,BROOKLYN,973,0,136
2015-04-14,MANHATTAN,2538,0,107
2015-04-14,QUEENS,747,0,99
2015-04-14,STATEN ISLAND,29,0,13
2015-04-15,BRONX,258,0,53
2015-04-15,BROOKLYN,1010,0,161
2015-04-15,MANHATTAN,2633,0,117
2015-04-15,QUEENS,758,0,105
2015-04-15,STATEN ISLAND,27,0,20
2015-04-16,BRONX,283,0,53
2015-04-16,BROOKLYN,1083,0,123
2015-04-16,MANHATTAN,2802,0,112
2015-04-16,QUEENS,784,1,114
2015-04-16,STATEN ISLAND,22,0,18
2015-04-17,BRONX,293,0,66
2015-04-17,BROOKLYN,1158,0,149
2015-04-17,MANHATTAN,2963,0,151
2015-04-17,QUEENS,892,0,137
2015-04-17,STATEN ISLAND,24,0,15
2015-04-18,BRONX,338,1,73
2015-04-18,BROOKLYN,1488,1,133
2015-04-18,MANHATTAN,3090,0,121
2015-04-18,QUEENS,1016,0,111
2015-04-18,STATEN ISLAND,37,0,10
2015-04-19,BRONX,322,0,49
2015-04-19,BROOKLYN,1438,0,117
2015-04-19,MANHATTAN,2791,0,87
2015-04-19,QUEENS,937,0,68
2015-04-19,STATEN ISLAND,28,0,17
2015-04-20,BRONX,269,0,61
2015-04-20,BROOKLYN,1170,0,147
2015-04-20,MANHATTAN,2953,0,136
2015-04-20,QUEENS,829,1,117
2015-04-20,STATEN ISLAND,17,0,26
2015-04-21,BRONX,276,0,38
2015-04-21,BROOKLYN,1039,1,162
2015-04-21,MANHATTAN,2706,0,131
2015-04-21,QUEENS,813,0,133
2015-04-21,STATEN ISLAND,25,0,20
2015-04-22,BRONX,251,0,47
2015-04-22,BROOKLYN,1085,0,136
2015-04-22,MANHATTAN,2928,0,116
2015-04-22,QUEENS,800,0,88
2015-04-22,STATEN ISLAND,31,0,20
2015-04-23,BRONX,283,0,56
2015-04-23,BROOKLYN,1130,0,136
2015-04-23,MANHATTAN,3034,0,134
2015-04-23,QUEENS,853,0,111
2015-04-23,STATEN ISLAND,31,0,20
2015-04-24,BRONX,293,0,61
2015-04-24,BROOKLYN,1283,0,171
