DATE,Borough,counts
2015-04-08,Queens,785
2015-04-08,Staten Island,23
2015-04-08,Unknown,8
2015-04-09,Bronx,257
2015-04-09,Brooklyn,1021
2015-04-09,EWR,1
2015-04-09,Manhattan,2817
2015-04-09,Queens,813
2015-04-09,Staten Island,32
2015-04-09,Unknown,9
2015-04-10,Bronx,306
2015-04-10,Brooklyn,1154
2015-04-10,Manhattan,2912
2015-04-10,Queens,864
2015-04-10,Staten Island,22
2015-04-10,Unknown,9
2015-04-11,Bronx,359
2015-04-11,Brooklyn,1382
2015-04-11,Manhattan,2898
2015-04-11,Queens,957
2015-04-11,Staten Island,33
2015-04-11,Unknown,12
2015-04-12,Bronx,308
2015-04-12,Brooklyn,1272
2015-04-12,EWR,1
2015-04-12,Manhattan,2533
2015-04-12,Queens,875
2015-04-12,Staten Island,36
2015-04-12,Unknown,9
2015-04-13,Bronx,244
2015-04-13,Brooklyn,1014
2015-04-13,EWR,1
2015-04-13,Manhattan,2401
2015-04-13,Queens,800
2015-04-13,Staten Island,20
2015-04-13,Unknown,8
2015-04-14,Bronx,241
2015-04-14,Brooklyn,973
2015-04-14,Manhattan,2538
2015-04-14,Queens,747
2015-04-14,Staten Island,29
2015-04-14,Unknown,9
2015-04-15,Bronx,258
2015-04-15,Brooklyn,1010
2015-04-15,Manhattan,2633
2015-04-15,Queens,758
2015-04-15,Staten Island,27
2015-04-15,Unknown,13
2015-04-16,Bronx,283
2015-04-16,Brooklyn,1083
2015-04-16,EWR,1
2015-04-16,Manhattan,2802
2015-04-16,Queens,784
2015-04-16,Staten Island,22
2015-04-16,Unknown,10
2015-04-17,Bronx,293
2015-04-17,Brooklyn,1158
2015-04-17,Manhattan,2963
2015-04-17,Queens,892
2015-04-17,Staten Island,24
2015-04-17,Unknown,13
2015-04-18,Bronx,338
2015-04-18,Brooklyn,1488
2015-04-18,Manhattan,3090
2015-04-18,Queens,1016
2015-04-18,Staten Island,37
2015-04-18,Unknown,13
2015-04-19,Bronx,322
2015-04-19,Brooklyn,1438
2015-04-19,Manhattan,2791
2015-04-19,Queens,937
2015-04-19,Staten Island,28
2015-04-19,Unknown,9
2015-04-20,Bronx,269
2015-04-20,Brooklyn,1170
2015-04-20,Manhattan,2953
2015-04-20,Queens,829
2015-04-20,Staten Island,17
2015-04-20,Unknown,10
2015-04-21,Bronx,276
2015-04-21,Brooklyn,1039
2015-04-21,Manhattan,2706
2015-04-21,Queens,813
2015-04-21,Staten Island,25
2015-04-21,Unknown,7
2015-04-22,Bronx,251
2015-04-22,Brooklyn,1085
2015-04-22,EWR,2
2015-04-22,Manhattan,2928
2015-04-22,Queens,800
2015-04-22,Staten Island,31
2015-04-22,Unknown,8
2015-04-23,Bronx,283
2015-04-23,Brooklyn,1130
2015-04-23,EWR,1
2015-04-23,Manhattan,3034
2015-04-23,Queens,853
2015-04-23,Staten Island,31
2015-04-23,Unknown,10
2015-04-24,Bronx,293
2015-04-24,Brooklyn,1283
2015-04-24,Manhattan,3249
2015-04-24,Queens,891
2015-04-24,Staten Island,34
2015-04-24,Unknown,8
2015-04-25,Bronx,360
2015-04-25,Brooklyn,1595
2015-04-25,Manhattan,3304
2015-04-25,Queens,1017
2015-04-25,Staten Island,39
2015-04-25,Unknown,10
2015-04-26,Bronx,317
2015-04-26,Brooklyn,1461
2015-04-26,Manhattan,3044
2015-04-26,Queens,967
2015-04-26,Staten Island,33
2015-04-26,Unknown,13
2015-04-27,Bronx,277
2015-04-27,Brooklyn,1085
2015-04-27,Manhattan,2592
2015-04-27,Queens,788
2015-04-27,Staten Island,22
2015-04-27,Unknown,10
2015-04-28,Bronx,284
2015-04-28,Brooklyn,1048
2015-04-28,Manhattan,2740
2015-04-28,Queens,815
2015-04-28,Staten Island,22
2015-04-28,Unknown,4
2015-04-29,Bronx,280
2015-04-29,Brooklyn,1119
2015-04-29,Manhattan,2712
2015-04-29,Queens,789
2015-04-29,Staten Island,32
2015-04-29,Unknown,9
2015-04-30,Bronx,290
2015-04-30,Brooklyn,1116
2015-04-30,Manhattan,2837
2015-04-30,Queens,826
2015-04-30,Staten Island,34
2015-04-30,Unknown,9
2015-05-01,Bronx,321
2015-05-01,Brooklyn,1358
2015-05-01,EWR,2
2015-05-01,Manhattan,3444
2015-05-01,Queens,1002
2015-05-01,Staten Island,43
2015-05-01,Unknown,12
2015-05-02,Bronx,393
2015-05-02,Brooklyn,1726
2015-05-02,Manhattan,3649
2015-05-02,Queens,1108
2015-05-02,Staten Island,41
2015-05-02,Unknown,10
2015-05-03,Bronx,368
2015-05-03,Brooklyn,1536
2015-05-03,Manhattan,3161
2015-05-03,Queens,1028
2015-05-03,Staten Island,36
2015-05-03,Unknown,13
2015-05-04,Bronx,266
2015-05-04,Brooklyn,1140
2015-05-04,Manhattan,2949
2015-05-04,Queens,844
2015-05-04,Staten Island,37
2015-05-04,Unknown,9
2015-05-05,Bronx,270
2015-05-05,Brooklyn,1081
2015-05-05,EWR,1
2015-05-05,Manhattan,3163
2015-05-05,Queens,813
2015-05-05,Staten Island,24
2015-05-05,Unknown,11
2015-05-06,Bronx,286
2015-05-06,Brooklyn,1127
2015-05-06,Manhattan,3228
2015-05-06,Queens,920
2015-05-06,Staten Island,32
2015-05-06,Unknown,7
2015-05-07,Bronx,306
2015-05-07,Brooklyn,1141
2015-05-07,EWR,1
2015-05-07,Manhattan,3217
2015-05-07,Queens,854
2015-05-07,Staten Island,29
2015-05-07,Unknown,7
2015-05-08,Bronx,340
2015-05-08,Brooklyn,1292
2015-05-08,Manhattan,3360
2015-05-08,Queens,854
2015-05-08,Staten Island,49
2015-05-08,Unknown,11
2015-05-09,Bronx,368
2015-05-09,Brooklyn,1633
2015-05-09,Manhattan,3388
2015-05-09,Queens,1052
2015-05-09,Staten Island,43
2015-05-09,Unknown,14
2015-05-10,Bronx,355
2015-05-10,Brooklyn,1528
2015-05-10,EWR,2
2015-05-10,Manhattan,2962
2015-05-10,Queens,1000
2015-05-10,Staten Island,36
2015-05-10,Unknown,9
2015-05-11,Bronx,286
2015-05-11,Brooklyn,1185
2015-05-11,EWR,1
2015-05-11,Manhattan,2956
2015-05-11,Queens,869
2015-05-11,Staten Island,32
2015-05-11,Unknown,9
2015-05-12,Bronx,266
2015-05-12,Brooklyn,1069
2015-05-12,Manhattan,3134
2015-05-12,Queens,852
2015-05-12,Staten Island,22
2015-05-12,Unknown,10
2015-05-13,Bronx,283
2015-05-13,Brooklyn,1121
2015-05-13,EWR,1
2015-05-13,Manhattan,3203
2015-05-13,Queens,855
2015-05-13,Staten Island,26
2015-05-13,Unknown,7
2015-05-14,Bronx,273
2015-05-14,Brooklyn,1128
2015-05-14,Manhattan,3335
2015-05-14,Queens,922
2015-05-14,Staten Island,28
2015-05-14,Unknown,6
2015-05-15,Bronx,425
2015-05-15,Brooklyn,1275
2015-05-15,EWR,1
2015-05-15,Manhattan,3546
2015-05-15,Queens,947
2015-05-15,Staten Island,46
2015-05-15,Unknown,8
2015-05-16,Bronx,531
2015-05-16,Brooklyn,1638
2015-05-16,Manhattan,3843
2015-05-16,Queens,1091
2015-05-16,Staten Island,41
2015-05-16,Unknown,13
2015-05-17,Bronx,489
2015-05-17,Brooklyn,1471
2015-05-17,EWR,2
2015-05-17,Manhattan,3289
2015-05-17,Queens,1044
2015-05-17,Staten Island,42
2015-05-17,Unknown,11
2015-05-18,Bronx,295
2015-05-18,Brooklyn,1205
2015-05-18,Manhattan,3146
2015-05-18,Queens,935
2015-05-18,Staten Island,24
2015-05-18,Unknown,10
2015-05-19,Bronx,296
2015-05-19,Brooklyn,1122
2015-05-19,EWR,1
2015-05-19,Manhattan,3382
2015-05-19,Queens,932
2015-05-19,Staten Island,23
2015-05-19,Unknown,14
2015-05-20,Bronx,324
2015-05-20,Brooklyn,1189
2015-05-20,EWR,1
2015-05-20,Manhattan,3398
2015-05-20,Queens,886
2015-05-20,Staten Island,30
2015-05-20,Unknown,9
2015-05-21,Bronx,331
2015-05-21,Brooklyn,1257
2015-05-21,EWR,1
2015-05-21,Manhattan,3391
2015-05-21,Queens,949
2015-05-21,Staten Island,37
2015-05-21,Unknown,11
2015-05-22,Bronx,391
2015-05-22,Brooklyn,1350
2015-05-22,Manhattan,3387
2015-05-22,Queens,1035
2015-05-22,Staten Island,38
2015-05-22,Unknown,13
2015-05-23,Bronx,410
2015-05-23,Brooklyn,1439
2015-05-23,EWR,1
2015-05-23,Manhattan,2994
2015-05-23,Queens,1020
2015-05-23,Staten Island,32
2015-05-23,Unknown,18
2015-05-24,Bronx,358
2015-05-24,Brooklyn,1400
2015-05-24,Manhattan,2769
2015-05-24,Queens,1020
2015-05-24,Staten Island,32
2015-05-24,Unknown,9
2015-05-25,Bronx,326
2015-05-25,Brooklyn,1259
2015-05-25,EWR,1
2015-05-25,Manhattan,2643
2015-05-25,Queens,1019
2015-05-25,Staten Island,28
2015-05-25,Unknown,10
